order_id,customer_id,order_status,ordered_at,updated_at
45,21,created,2026-01-25 01:00:00,2026-01-25 01:05:00
1,1,shipped,2026-01-15 10:00:00,2026-01-25 09:00:00
41,22,completed,2026-01-27 07:00:00,2026-01-27 07:00:00
42,1,paid,2026-01-23 05:00:00,2026-01-23 05:00:00
43,15,paid,2026-01-22 11:00:00,2026-01-22 11:00:00
44,1,paid,2026-01-24 14:00:00,2026-01-24 14:00:00
45,21,paid,2026-01-25 01:00:00,2026-01-25 01:30:00
46,22,shipped,2026-01-21 17:00:00,2026-01-21 17:00:00
47,2,paid,2026-01-25 10:00:00,2026-01-25 10:00:00
48,22,shipped,2026-01-22 01:00:00,2026-01-22 01:00:00
49,23,shipped,2026-01-24 19:00:00,2026-01-24 19:00:00
50,21,unknown_status,2026-01-27 21:00:00,2026-01-27 21:00:00
51,16,completed,2026-01-23 13:00:00,2026-01-23 13:00:00
52,18,completed,2026-01-26 18:00:00,2026-01-26 18:00:00
53,23,completed,2026-01-24 08:00:00,2026-01-24 08:00:00
54,1,paid,2026-01-22 21:00:00,2026-01-22 21:00:00
55,23,completed,2026-01-28 01:00:00,2026-01-28 01:00:00
56,3,paid,2026-01-28 07:00:00,2026-01-28 07:00:00
57,1,paid,2026-01-21 20:00:00,2026-01-21 20:00:00
58,21,completed,2026-01-26 01:00:00,2026-01-26 01:00:00
59,11,completed,2026-01-23 23:00:00,2026-01-23 23:00:00
60,1,shipped,2026-01-22 03:00:00,2026-01-22 03:00:00
